MOTUs;LIV_CAL_01;LIV_CAL_02;LIV_CAL_03;LIV_ISO_01;LIV_ISO_02;LIV_ISO_03;LIV_SON_01;LIV_SON_02;PAL_COS_01;PAL_COS_02;PAL_COS_03;PAL_RIB_01;PAL_RIB_02;PAL_RIB_03;PAL_SPA_01;PAL_SPA_02;ROV_BAG_01;ROV_BAG_02;ROV_BAG_03;ROV_FIG_01;ROV_FIG_02;ROV_FIG_03;ROV_SAN_01;ROV_SAN_02;ROV_SAN_03
ASUs_000209222;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASUs_000354874;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
ASUs_000492309;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0
ASUs_000527771;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
ASUs_000066031;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASUs_000084196;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASUs_000198667;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASUs_000199959;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASUs_000348290;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASUs_000002661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0
ASUs_000003754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ASUs_000057533;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
